Date,Price,Open,High,Low,Volume,Change %
6/11/2023,"3,700.00","3,600.00","3,800.00","3,600.00",759.44K,2.78%
3/11/2023,"3,600.00","3,700.00","3,700.00","3,500.00",850.79K,0.00%
2/11/2023,"3,600.00","3,400.00","3,700.00","3,400.00",1.17M,5.88%
1/11/2023,"3,400.00","3,500.00","3,500.00","3,300.00",586.01K,0.00%
31/10/2023,"3,400.00","3,600.00","3,600.00","3,400.00",745.19K,-5.56%
30/10/2023,"3,600.00","3,700.00","3,700.00","3,500.00",468.03K,-2.70%
27/10/2023,"3,700.00","3,600.00","3,700.00","3,500.00",823.16K,2.78%
26/10/2023,"3,600.00","3,800.00","3,800.00","3,500.00",1.57M,-5.26%
25/10/2023,"3,800.00","3,800.00","3,800.00","3,700.00",232.95K,0.00%
24/10/2023,"3,800.00","3,700.00","3,800.00","3,700.00",491.34K,2.70%
23/10/2023,"3,700.00","3,700.00","3,800.00","3,700.00",367.24K,0.00%
20/10/2023,"3,700.00","3,700.00","3,800.00","3,600.00",458.93K,0.00%
19/10/2023,"3,700.00","3,700.00","3,800.00","3,600.00",665.08K,0.00%
18/10/2023,"3,700.00","3,800.00","3,900.00","3,600.00",1.02M,-2.63%
17/10/2023,"3,800.00","3,900.00","4,000.00","3,800.00",258.42K,-2.56%
16/10/2023,"3,900.00","3,900.00","4,000.00","3,800.00",605.36K,0.00%
13/10/2023,"3,900.00","4,000.00","4,000.00","3,900.00",325.73K,-2.50%
12/10/2023,"4,000.00","4,100.00","4,100.00","4,000.00",826.49K,-2.44%
11/10/2023,"4,100.00","4,000.00","4,100.00","3,900.00",735.49K,2.50%
10/10/2023,"4,000.00","4,000.00","4,100.00","3,900.00",794.99K,0.00%
9/10/2023,"4,000.00","4,000.00","4,000.00","3,900.00",763.74K,0.00%
6/10/2023,"4,000.00","3,900.00","4,000.00","3,800.00",574.41K,2.56%
5/10/2023,"3,900.00","3,900.00","4,000.00","3,800.00",376.04K,0.00%
4/10/2023,"3,900.00","3,800.00","4,000.00","3,700.00",976.58K,2.63%
3/10/2023,"3,800.00","4,000.00","4,000.00","3,700.00",1.39M,-5.00%
2/10/2023,"4,000.00","4,000.00","4,100.00","4,000.00",507.85K,0.00%
29/09/2023,"4,000.00","4,000.00","4,100.00","4,000.00",847.06K,0.00%
28/09/2023,"4,000.00","4,100.00","4,100.00","3,900.00",780.54K,-2.44%
27/09/2023,"4,100.00","4,000.00","4,100.00","3,900.00",830.73K,2.50%
26/09/2023,"4,000.00","4,000.00","4,100.00","3,900.00",1.69M,0.00%
25/09/2023,"4,000.00","4,400.00","4,400.00","4,000.00",1.84M,-9.09%
22/09/2023,"4,400.00","4,500.00","4,500.00","4,300.00",1.91M,-2.22%
21/09/2023,"4,500.00","4,600.00","4,700.00","4,500.00",1.17M,-2.17%
20/09/2023,"4,600.00","4,600.00","4,600.00","4,400.00",1.09M,2.22%
19/09/2023,"4,500.00","4,600.00","4,600.00","4,400.00",2.00M,-2.17%
18/09/2023,"4,600.00","4,600.00","4,600.00","4,400.00",1.42M,0.00%
15/09/2023,"4,600.00","4,600.00","4,700.00","4,500.00",1.12M,0.00%
14/09/2023,"4,600.00","4,700.00","4,700.00","4,500.00",1.66M,-2.13%
13/09/2023,"4,700.00","4,800.00","4,800.00","4,600.00",1.30M,-2.08%
12/9/2023,"4,800.00","4,700.00","4,800.00","4,600.00",2.06M,2.13%
11/9/2023,"4,700.00","4,800.00","4,900.00","4,700.00",2.26M,-2.08%
8/9/2023,"4,800.00","4,800.00","4,900.00","4,700.00",1.99M,0.00%
7/9/2023,"4,800.00","4,800.00","4,900.00","4,700.00",2.12M,0.00%
6/9/2023,"4,800.00","4,800.00","4,900.00","4,700.00",1.58M,0.00%
5/9/2023,"4,800.00","4,700.00","4,900.00","4,700.00",3.36M,2.13%
31/08/2023,"4,700.00","4,700.00","4,800.00","4,600.00",1.89M,0.00%
30/08/2023,"4,700.00","4,700.00","4,800.00","4,600.00",921.94K,0.00%
29/08/2023,"4,700.00","4,600.00","4,800.00","4,600.00",2.06M,2.17%
28/08/2023,"4,600.00","4,600.00","4,700.00","4,600.00",1.25M,0.00%
25/08/2023,"4,600.00","4,700.00","4,700.00","4,500.00",1.91M,-2.13%
24/08/2023,"4,700.00","4,600.00","4,700.00","4,500.00",1.53M,2.17%
23/08/2023,"4,600.00","4,600.00","4,800.00","4,600.00",1.37M,0.00%
22/08/2023,"4,600.00","4,700.00","4,800.00","4,400.00",2.68M,-2.13%
